fixture_stat_weight_id,fixture_set_id,fixture_build_id,stat_id,relative_weight,normalisation_group,sort_order
fixture.weight.striker.strength,m10-v1,fixture.build.striker,strength,3,core_stats,10
fixture.weight.striker.finesse,m10-v1,fixture.build.striker,finesse,2,core_stats,20
fixture.weight.striker.stamina,m10-v1,fixture.build.striker,stamina,1,core_stats,30
fixture.weight.striker.intellect,m10-v1,fixture.build.striker,intellect,1,core_stats,40
fixture.weight.striker.will,m10-v1,fixture.build.striker,will,1,core_stats,50
fixture.weight.striker.spirit,m10-v1,fixture.build.striker,spirit,1,core_stats,60
fixture.weight.striker.frame,m10-v1,fixture.build.striker,frame,2,core_stats,70
fixture.weight.striker.poise,m10-v1,fixture.build.striker,poise,1,core_stats,80
fixture.weight.striker.constitution,m10-v1,fixture.build.striker,constitution,2,core_stats,90
fixture.weight.controller.strength,m10-v1,fixture.build.controller,strength,1,core_stats,100
fixture.weight.controller.finesse,m10-v1,fixture.build.controller,finesse,1,core_stats,110
fixture.weight.controller.stamina,m10-v1,fixture.build.controller,stamina,3,core_stats,120
fixture.weight.controller.intellect,m10-v1,fixture.build.controller,intellect,2,core_stats,130
fixture.weight.controller.will,m10-v1,fixture.build.controller,will,2,core_stats,140
fixture.weight.controller.spirit,m10-v1,fixture.build.controller,spirit,3,core_stats,150
fixture.weight.controller.frame,m10-v1,fixture.build.controller,frame,2,core_stats,160
fixture.weight.controller.poise,m10-v1,fixture.build.controller,poise,2,core_stats,170
fixture.weight.controller.constitution,m10-v1,fixture.build.controller,constitution,3,core_stats,180
fixture.weight.technical.strength,m10-v1,fixture.build.technical,strength,1,core_stats,190
fixture.weight.technical.finesse,m10-v1,fixture.build.technical,finesse,3,core_stats,200
fixture.weight.technical.stamina,m10-v1,fixture.build.technical,stamina,1,core_stats,210
fixture.weight.technical.intellect,m10-v1,fixture.build.technical,intellect,3,core_stats,220
fixture.weight.technical.will,m10-v1,fixture.build.technical,will,2,core_stats,230
fixture.weight.technical.spirit,m10-v1,fixture.build.technical,spirit,1,core_stats,240
fixture.weight.technical.frame,m10-v1,fixture.build.technical,frame,1,core_stats,250
fixture.weight.technical.poise,m10-v1,fixture.build.technical,poise,2,core_stats,260
fixture.weight.technical.constitution,m10-v1,fixture.build.technical,constitution,1,core_stats,270
fixture.weight.trickster.strength,m10-v1,fixture.build.trickster,strength,1,core_stats,280
fixture.weight.trickster.finesse,m10-v1,fixture.build.trickster,finesse,3,core_stats,290
fixture.weight.trickster.stamina,m10-v1,fixture.build.trickster,stamina,1,core_stats,300
fixture.weight.trickster.intellect,m10-v1,fixture.build.trickster,intellect,3,core_stats,310
fixture.weight.trickster.will,m10-v1,fixture.build.trickster,will,2,core_stats,320
fixture.weight.trickster.spirit,m10-v1,fixture.build.trickster,spirit,2,core_stats,330
fixture.weight.trickster.frame,m10-v1,fixture.build.trickster,frame,1,core_stats,340
fixture.weight.trickster.poise,m10-v1,fixture.build.trickster,poise,2,core_stats,350
fixture.weight.trickster.constitution,m10-v1,fixture.build.trickster,constitution,1,core_stats,360
fixture.weight.war_priest.strength,m10-v1,fixture.build.war_priest,strength,2,core_stats,370
fixture.weight.war_priest.finesse,m10-v1,fixture.build.war_priest,finesse,1,core_stats,380
fixture.weight.war_priest.stamina,m10-v1,fixture.build.war_priest,stamina,2,core_stats,390
fixture.weight.war_priest.intellect,m10-v1,fixture.build.war_priest,intellect,2,core_stats,400
fixture.weight.war_priest.will,m10-v1,fixture.build.war_priest,will,3,core_stats,410
fixture.weight.war_priest.spirit,m10-v1,fixture.build.war_priest,spirit,3,core_stats,420
fixture.weight.war_priest.frame,m10-v1,fixture.build.war_priest,frame,2,core_stats,430
fixture.weight.war_priest.poise,m10-v1,fixture.build.war_priest,poise,2,core_stats,440
fixture.weight.war_priest.constitution,m10-v1,fixture.build.war_priest,constitution,2,core_stats,450
