rule_id,display_name,description,severity,source_reference,sort_order
T-C1,T-C1,All dot vectors satisfy `dm + df + di = 0`,critical,T · A2.4,1
T-C2,T-C2,`ΣF ≤ 0.45` and `F ≤ 0.25` hold for every character at every point,critical,T · A.2,2
T-C3,T-C3,`Σ Φ_base` is conserved — no permanent power creep,critical,T · A4.2,3
T-C4,T-C4,Any floor modification is sum-preserving; threshold reductions per-region only,critical,T · G.2,4
T-C5,T-C5,Region geometry valid under **every legal floor shape**,critical,"T · A.3, J.4",5
T-C6,T-C6,Temporary effects cannot modify baseline floors or global thresholds,critical,T · A4.2a,6
T-C7,T-C7,"At run start, `ΣF_rendered == ΣF_baseline`",critical,T · A4.2a *(◈W2f)*,7
T-C8,T-C8,Action success scales on Triade position — no position-independent resolution,critical,T · C.6,8
T-C9,T-C9,AP cannot fall below the guaranteed floor,critical,"T · H, K·3.3",9
T-C10,T-C10,Every skill anchor is reachable by its intended vocabulary owner,critical,T · A3.8,10
T-C11,T-C11,The **corner**-floor render is affine in its field; the **sector**-floor render is super-additive,critical,T · A4.4,11
T-C12,T-C12,"Every `sources` entry resolves to a record — weapon, shield, `faculty` or environment object",critical,"T · A3.8, M · 2A.12",12
T-C13,T-C13,A `[Combo-Action]` declares **exactly two** delivery hooks,critical,M · 2A.10,13
T-C14,T-C14,"A lineage `offset` is a 9-stat integer vector summing to zero, measured at the lineage's `typical` size",critical,T · A4.8a,14
H-C6,H-C6,"Every actor resolves to exactly one `[Chassis]`, and every `[Chassis]` to exactly one `BodyTemplate`",critical,H · 5.3,15
H-C7,H-C7,"`[Innate]` slots derive from the `BodyTemplate` node groups, never authored per chassis",critical,"H · 13, M · 2A.10a",16
E-C5,E-C5,Every chassis names exactly one `BodyTemplate`; no chassis inlines coverage weights,critical,E · 3,17
E-C6,E-C6,Every enemy carries at least one `[Faculty]`; no enemy has zero vocabulary sources,critical,E · F.1,18
K-C1,K-C1,No action creates an Opening **and** awards the same region's trickle,critical,K · 16,19
K-C2,K-C2,No action reads without a valid Opening,critical,K · 16,20
K-C3,K-C3,Edge cannot target a different Opening or combatant,critical,K · 9.1,21
K-C4,K-C4,Loop-earned Advantage is one-shot,critical,K · 16,22
K-C5,K-C5,`[Back-foot]` does not stack against one attacker,critical,K · 16,23
K-C6,K-C6,Glancing outcomes award **no credit of any kind**,critical,K · 6.2,24
K-C7,K-C7,Watch resolves exactly one branch per triggering event,critical,K · 8.2,25
K-C8,K-C8,No corner holds more than one tempo lever,critical,K · 3.3,26
K-C9,K-C9,Position snapshot is taken **before** the action resolves,critical,K · 5.2,27
